Samples,Replicates,Total,IntrHyphae,Arbuscule,Vesicles
WT,A,30,30,30,10
WT,A,24,24,24,7
WT,A,15,15,15,3
WT,B,20,20,20,5
WT,B,62,62,59,14
WT,B,37,37,37,12
WT,C,44,44,44,8
WT,C,12,12,12,2
WT,C,26,26,26,8
cyclops-3,A,18,18,0,0
cyclops-3,A,16,10,0,0
cyclops-3,A,30,30,0,0
cyclops-3,B,20,20,0,0
cyclops-3,B,40,40,0,0
cyclops-3,B,14,14,0,0
cyclops-3,C,14,14,0,0
cyclops-3,C,4,4,0,0
cyclops-3,C,12,12,0,0
cyclops-4,A,14,14,0,0
cyclops-4,A,20,20,0,0
cyclops-4,A,8,8,0,0
cyclops-4,B,21,12,0,0
cyclops-4,B,25,25,0,0
cyclops-4,B,15,15,0,0
cyclops-4,C,8,8,0,0
cyclops-4,C,23,23,0,0
cyclops-4,C,10,10,0,0
ccamk-13,A,11,0,0,0
ccamk-13,A,8,0,0,0
ccamk-13,A,9,0,0,0
ccamk-13,B,6,0,0,0
ccamk-13,B,15,0,0,0
ccamk-13,B,10,0,0,0
ccamk-13,C,17,0,0,0
ccamk-13,C,12,0,0,0
ccamk-13,C,16,0,0,0
cyclops-3,A,18,18,0,0
cyclops-3,A,16,10,0,0
cyclops-3,A,30,30,0,0
cyclops-3,B,20,20,0,0
cyclops-3,B,40,40,0,0
cyclops-3,B,14,14,0,0
cyclops-3,C,14,14,0,0
cyclops-3,C,4,4,0,0
cyclops-3,C,12,12,0,0
cyclops-4,A,14,14,0,0
cyclops-4,A,20,20,0,0
cyclops-4,A,8,8,0,0
cyclops-4,B,21,12,0,0
cyclops-4,B,25,25,0,0
cyclops-4,B,15,15,0,0
cyclops-4,C,8,8,0,0
cyclops-4,C,23,23,0,0
cyclops-4,C,10,10,0,0
ccamk-13,A,11,0,0,0
ccamk-13,A,8,0,0,0
ccamk-13,A,9,0,0,0
ccamk-13,B,6,0,0,0
ccamk-13,B,15,0,0,0
ccamk-13,B,10,0,0,0
ccamk-13,C,17,0,0,0
ccamk-13,C,12,0,0,0
ccamk-13,C,16,0,0,0
